Dataset,Model,RMSE,Brier,ECE,EvalCount
HT2009,TGN,0.3205313941306538,0.2509696473511621,0.046603226,10.0
HT2009,PersLay,0.3283072270111079,0.2204732142951669,0.2662928069999999,10.0
HT2009,RKHS,0.3224298650619229,0.2566121617956299,0.051820724,10.0
InVS15,TGN,0.1750522052770047,0.240177021854917,0.1666013009411764,17.0
InVS15,PersLay,0.1799957111074588,0.2251646604989514,0.1442715629411764,17.0
InVS15,RKHS,0.204598419781861,0.2166165968924069,0.0619202429411765,17.0
Infectious,TGN,0.1861225525281957,0.7065219090449942,0.7899112654545454,11.0
Infectious,PersLay,0.1859253987777684,0.7021101332283822,0.7829389009090909,11.0
Infectious,RKHS,0.1678061792267103,0.674642666903048,0.7692343899999999,11.0
LyonSchool,TGN,0.4065767856839398,0.2985266624216058,0.546375505,8.0
LyonSchool,PersLay,0.3226898842855702,0.2171818073220689,0.4631824975,8.0
LyonSchool,RKHS,0.4282225320748946,0.3269435034428833,0.57178029625,8.0
Thiers13,TGN,0.3694561634086466,0.2568626412963342,0.0994440688888889,9.0
Thiers13,PersLay,0.1983027251888523,0.1790079794243687,0.2216231211111111,9.0
Thiers13,RKHS,0.3722984547628021,0.263761126114601,0.1088679466666667,9.0
