dataset,combo_id,lambda_g,learning_rate,fusion_hidden_dim,rkhs_proj_hidden_dim,weight_decay,rmse,brier,ece,tag
HT2009,3,0.3,0.0005,64,128,0.0001,0.3038829057136642,0.25681392003132225,0.09281635499999996,tune_ht2009_003
HT2009,2,0.3,0.0005,64,128,0.0,0.3038858675914375,0.25681831943491495,0.09281710399999998,tune_ht2009_002
HT2009,4,0.3,0.0005,128,64,0.0,0.3241357177368558,0.24977722408090514,0.038911792000000056,tune_ht2009_004
HT2009,1,0.3,0.0005,64,64,0.0001,0.3293211382918839,0.2490030539440645,0.02651983899999999,tune_ht2009_001
HT2009,0,0.3,0.0005,64,64,0.0,0.3293218089290626,0.24900305330449624,0.026518761999999974,tune_ht2009_000
InVS15,3,0.3,0.0005,64,128,0.0001,0.17646928152051913,0.2231339910606767,0.12484296529411767,tune_invs15_003
InVS15,2,0.3,0.0005,64,128,0.0,0.1765475532758567,0.22308761126998314,0.12480418764705883,tune_invs15_002
InVS15,4,0.3,0.0005,128,64,0.0,0.17721703669971955,0.22401263184217646,0.12547444941176472,tune_invs15_004
InVS15,0,0.3,0.0005,64,64,0.0,0.1829468154175406,0.2191526597057607,0.1056598023529412,tune_invs15_000
InVS15,1,0.3,0.0005,64,64,0.0001,0.1838735967496627,0.21887017839455494,0.10358575764705885,tune_invs15_001
Infectious,1,0.3,0.0005,64,64,0.0001,0.11498295746886986,0.5868767390783242,0.7100592118181818,tune_infectious_001
Infectious,0,0.3,0.0005,64,64,0.0,0.11516391393003081,0.587106431171583,0.7102256327272727,tune_infectious_000
Infectious,3,0.3,0.0005,64,128,0.0001,0.158367167433058,0.6608556800628265,0.7604123745454545,tune_infectious_003
Infectious,2,0.3,0.0005,64,128,0.0,0.15845749540547763,0.6610049708738127,0.7605061445454545,tune_infectious_002
Infectious,4,0.3,0.0005,128,64,0.0,0.16455606096778747,0.6713022850046583,0.7672650081818182,tune_infectious_004
LyonSchool,0,0.3,0.0005,64,64,0.0,0.3872392628118719,0.27287918873241346,0.52237806,tune_lyonschool_000
LyonSchool,1,0.3,0.0005,64,64,0.0001,0.3872395737443675,0.2728793440847239,0.52237820875,tune_lyonschool_001
LyonSchool,4,0.3,0.0005,128,64,0.0,0.3941973974858901,0.2824979820863623,0.53150401375,tune_lyonschool_004
LyonSchool,3,0.3,0.0005,64,128,0.0001,0.39472178385742124,0.28282779958150256,0.53181523375,tune_lyonschool_003
LyonSchool,2,0.3,0.0005,64,128,0.0,0.39475815001323794,0.2828780488491784,0.53186247375,tune_lyonschool_002
Thiers13,2,0.3,0.0005,64,128,0.0,0.3313494928466549,0.2857657426852314,0.3000721377777778,tune_thiers13_002
Thiers13,3,0.3,0.0005,64,128,0.0001,0.33176833527073596,0.28471321447298303,0.23049193,tune_thiers13_003
Thiers13,4,0.3,0.0005,128,64,0.0,0.35131316127031115,0.27412611838424067,0.17032444777777783,tune_thiers13_004
Thiers13,0,0.3,0.0005,64,64,0.0,0.35496628668037833,0.27344575758417494,0.16236490888888894,tune_thiers13_000
Thiers13,1,0.3,0.0005,64,64,0.0001,0.3549691215300677,0.273437955625998,0.1623419722222223,tune_thiers13_001
