epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,3029.692138671875,0.1157039999961853,10098.587890625,0.34015291929244995,0.3089539110660553
1,2703.526123046875,0.08814070373773575,9011.4599609375,0.29688501358032227,0.31847408413887024
2,2403.026123046875,0.06935559958219528,8009.85595703125,0.26335451006889343,0.2941199839115143
3,2129.857177734375,0.05800113454461098,7099.330078125,0.24083425104618073,0.26202648878097534
4,1880.8946533203125,0.05518350377678871,6269.46484375,0.2349116951227188,0.24447228014469147
5,1655.4481201171875,0.05147194489836693,5517.98828125,0.22687429189682007,0.2373887449502945
6,1450.7132568359375,0.04658257216215134,4835.55517578125,0.2158299684524536,0.2388395220041275
7,1266.9866943359375,0.04412128031253815,4223.14208984375,0.21005065739154816,0.24702681601047516
8,1102.8621826171875,0.043528635054826736,3676.061767578125,0.20863516628742218,0.25707292556762695
9,956.7901611328125,0.04311031848192215,3189.15673828125,0.2076302468776703,0.2616068720817566
