pdb_id,regime,status,detail,fasta_path,colabfold_batch_rc,gpu_validation,nvidia_gpu_names
10MV,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_10MV.fasta,0,ok,NVIDIA GeForce RTX 4080
11QE,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_11QE.fasta,0,ok,NVIDIA GeForce RTX 4080
11TE,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_11TE.fasta,0,ok,NVIDIA GeForce RTX 4080
11YC,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_11YC.fasta,0,ok,NVIDIA GeForce RTX 4080
12AK,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_12AK.fasta,0,ok,NVIDIA GeForce RTX 4080
13XK,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XK.fasta,0,ok,NVIDIA GeForce RTX 4080
13XL,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XL.fasta,0,ok,NVIDIA GeForce RTX 4080
13XM,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XM.fasta,0,ok,NVIDIA GeForce RTX 4080
13XN,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XN.fasta,0,ok,NVIDIA GeForce RTX 4080
13XO,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XO.fasta,0,ok,NVIDIA GeForce RTX 4080
13XP,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XP.fasta,0,ok,NVIDIA GeForce RTX 4080
13XQ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XQ.fasta,0,ok,NVIDIA GeForce RTX 4080
13XR,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XR.fasta,0,ok,NVIDIA GeForce RTX 4080
13XS,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XS.fasta,0,ok,NVIDIA GeForce RTX 4080
13XT,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XT.fasta,0,ok,NVIDIA GeForce RTX 4080
13XU,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XU.fasta,0,ok,NVIDIA GeForce RTX 4080
13XV,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XV.fasta,0,ok,NVIDIA GeForce RTX 4080
13XW,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XW.fasta,0,ok,NVIDIA GeForce RTX 4080
13XX,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XX.fasta,0,ok,NVIDIA GeForce RTX 4080
13XY,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XY.fasta,0,ok,NVIDIA GeForce RTX 4080
13XZ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13XZ.fasta,0,ok,NVIDIA GeForce RTX 4080
13YA,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YA.fasta,0,ok,NVIDIA GeForce RTX 4080
13YB,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YB.fasta,0,ok,NVIDIA GeForce RTX 4080
13YC,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YC.fasta,0,ok,NVIDIA GeForce RTX 4080
13YD,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YD.fasta,0,ok,NVIDIA GeForce RTX 4080
13YE,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YE.fasta,0,ok,NVIDIA GeForce RTX 4080
13YF,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YF.fasta,0,ok,NVIDIA GeForce RTX 4080
13YG,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YG.fasta,0,ok,NVIDIA GeForce RTX 4080
13YH,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YH.fasta,0,ok,NVIDIA GeForce RTX 4080
13YI,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YI.fasta,0,ok,NVIDIA GeForce RTX 4080
13YJ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YJ.fasta,0,ok,NVIDIA GeForce RTX 4080
13YK,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YK.fasta,0,ok,NVIDIA GeForce RTX 4080
13YL,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YL.fasta,0,ok,NVIDIA GeForce RTX 4080
13YM,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YM.fasta,0,ok,NVIDIA GeForce RTX 4080
13YN,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YN.fasta,0,ok,NVIDIA GeForce RTX 4080
13YO,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YO.fasta,0,ok,NVIDIA GeForce RTX 4080
13YP,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YP.fasta,0,ok,NVIDIA GeForce RTX 4080
