t,window_start,window_end,day_index,context_label,y_large_outbreak_prob,y_next_large_outbreak_prob,delta_y_large_outbreak_prob,mean_attack_rate,mean_peak_prevalence,d_l2_norm,g_l2_norm,nodes,edges,total_duration_seconds,mean_edge_duration_seconds
0,20.0,1800.0,0,off_schedule,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2,1,1800.0,1800.0
1,1920.0,3600.0,0,off_schedule,1.0,0.7666666666666667,-0.23333333333333328,0.4458333333333333,0.4458333333333333,3.0,7.14142842854285,4,2,1720.0,860.0
2,3620.0,5400.0,0,off_schedule,0.7666666666666667,0.85,0.08333333333333326,0.7144736842105263,0.5719298245614034,9.16515138991168,26.645825188948457,19,41,4080.0,99.51219512195122
3,5420.0,7200.0,0,off_schedule,0.85,0.8166666666666667,-0.033333333333333326,0.7889999999999999,0.5559999999999999,34.17601498127012,17.804493814764857,50,119,6400.0,53.78151260504202
4,7220.0,9000.0,0,off_schedule,0.8166666666666667,0.6,-0.21666666666666667,0.6990112994350283,0.4309322033898305,32.78719262151,26.570660511172846,59,116,5440.0,46.89655172413793
5,9020.0,10760.0,0,off_schedule,0.6,0.475,-0.125,0.3887387387387387,0.2743243243243243,14.035668847618199,22.427661492005804,37,51,2780.0,54.50980392156863
6,10820.0,12440.0,0,off_schedule,0.475,0.65,0.17500000000000004,0.3327651515151515,0.1928030303030303,27.820855486487112,35.31288716601915,44,64,2160.0,33.75
7,12640.0,14400.0,0,off_schedule,0.65,0.5333333333333333,-0.1166666666666667,0.51747311827957,0.3013440860215053,36.15245496505044,16.583123951777,62,103,4920.0,47.76699029126213
8,14420.0,16200.0,0,off_schedule,0.5333333333333333,0.2916666666666667,-0.24166666666666664,0.3206896551724138,0.2261494252873563,29.46183972531247,17.97220075561143,58,91,6960.0,76.48351648351648
9,16220.0,18000.0,0,off_schedule,0.2916666666666667,0.55,0.25833333333333336,0.1524305555555555,0.1375,16.401219466856727,25.98076211353316,24,22,2180.0,99.0909090909091
10,18020.0,19800.0,0,off_schedule,0.55,0.75,0.19999999999999996,0.3413888888888889,0.21625,39.191835884530846,9.848857801796104,60,90,5640.0,62.66666666666666
11,19820.0,21600.0,0,off_schedule,0.75,0.55,-0.19999999999999996,0.6048309178743961,0.3821256038647342,38.24918299781056,13.96424004376894,69,139,22360.0,160.86330935251797
12,21620.0,23400.0,0,off_schedule,0.55,0.7083333333333334,0.15833333333333333,0.3623655913978494,0.2416666666666666,28.460498941515414,17.549928774784245,62,108,13040.0,120.74074074074076
13,23420.0,25200.0,0,off_schedule,0.7083333333333334,0.225,-0.4833333333333334,0.5156944444444443,0.3013888888888889,35.41186241925155,25.11971337416094,60,97,5560.0,57.31958762886598
14,25220.0,27000.0,0,off_schedule,0.225,0.2083333333333333,-0.01666666666666672,0.1154411764705882,0.0938725490196078,23.643180835073778,5.744562646538029,34,30,2600.0,86.66666666666667
15,27020.0,28800.0,0,off_schedule,0.2083333333333333,0.6666666666666666,0.45833333333333337,0.1127777777777778,0.0972222222222222,18.920887928424502,16.852299546352718,30,22,3200.0,145.45454545454547
16,28820.0,30600.0,0,morning_class,0.6666666666666666,0.6916666666666667,0.025000000000000022,0.5007440476190477,0.2806547619047619,28.948229652260256,12.922847983320086,56,85,5920.0,69.6470588235294
17,30620.0,32400.0,0,morning_class,0.6916666666666667,0.3416666666666667,-0.35,0.485,0.256547619047619,37.26929030716845,24.289915602982237,70,102,8000.0,78.43137254901961
18,32420.0,34200.0,0,morning_class,0.3416666666666667,0.0,-0.3416666666666667,0.1663793103448275,0.1318965517241379,16.401219466856727,8.717797887081348,29,26,2760.0,106.15384615384616
19,34220.0,35960.0,0,morning_class,0.0,0.7833333333333333,0.7833333333333333,0.0772058823529411,0.0698529411764705,15.459624833740307,37.69615364994153,34,25,1440.0,57.6
20,36040.0,37800.0,0,morning_class,0.7833333333333333,0.6333333333333333,-0.15000000000000002,0.6692857142857143,0.3921428571428571,46.216880033165374,20.12461179749811,70,132,7540.0,57.121212121212125
21,37820.0,39600.0,0,morning_class,0.6333333333333333,0.75,0.1166666666666667,0.4835748792270531,0.2989130434782608,38.118237105091836,4.795831523312719,69,121,10160.0,83.96694214876032
22,39620.0,41400.0,0,lunch_or_transition,0.75,0.375,-0.375,0.6144607843137255,0.3382352941176469,37.76241517699841,25.98076211353316,68,116,9460.0,81.55172413793103
23,41420.0,43160.0,0,lunch_or_transition,0.375,0.3833333333333333,0.008333333333333304,0.2284482758620689,0.1649425287356321,15.968719422671311,4.69041575982343,29,28,2060.0,73.57142857142857
24,86520.0,88200.0,1,off_schedule,0.3833333333333333,0.1833333333333333,-0.2,0.2008064516129032,0.1387096774193548,18.734993995195193,13.527749258468683,31,35,2860.0,81.71428571428571
25,88240.0,90000.0,1,off_schedule,0.1833333333333333,0.7083333333333334,0.5250000000000001,0.1064236111111111,0.0770833333333333,31.080540535840107,58.378078077305695,48,46,2900.0,63.04347826086956
26,95420.0,97200.0,1,off_schedule,0.7083333333333334,0.75,0.04166666666666663,0.5850456621004566,0.3030821917808219,55.49774770204643,58.63446085707619,73,135,5700.0,42.22222222222222
27,97220.0,98940.0,1,off_schedule,0.75,0.2166666666666666,-0.5333333333333334,0.6123873873873874,0.3881756756756757,44.294469180700204,24.24871130596428,74,166,8300.0,50.0
28,99040.0,100800.0,1,off_schedule,0.2166666666666666,0.8083333333333333,0.5916666666666668,0.1236338797814207,0.0762295081967213,39.74921382870358,45.4972526643093,61,64,2780.0,43.4375
29,100820.0,102600.0,1,off_schedule,0.8083333333333333,0.7833333333333333,-0.025000000000000022,0.7128787878787879,0.4412337662337661,59.16079783099616,17.08800749063506,77,170,8920.0,52.47058823529412
30,102620.0,104400.0,1,off_schedule,0.7833333333333333,0.7166666666666667,-0.06666666666666665,0.6878019323671497,0.4262077294685991,47.286361670147556,23.108440016582687,69,148,7300.0,49.32432432432432
31,104420.0,106200.0,1,off_schedule,0.7166666666666667,0.8333333333333334,0.1166666666666667,0.6008333333333333,0.3926190476190476,52.78257288158659,7.810249675906654,70,145,16480.0,113.65517241379312
32,106220.0,108000.0,1,off_schedule,0.8333333333333334,0.4333333333333333,-0.4000000000000001,0.6910569105691058,0.4054878048780488,50.882216932834204,22.64950330581225,82,145,22580.0,155.72413793103448
33,108020.0,109800.0,1,off_schedule,0.4333333333333333,0.075,-0.3583333333333333,0.2321271929824561,0.1323464912280701,50.21951811795888,19.544820285692065,76,103,14600.0,141.74757281553397
34,109820.0,111580.0,1,off_schedule,0.075,0.2583333333333333,0.1833333333333333,0.0797101449275362,0.0663043478260869,32.37282811247729,19.235384061671343,46,42,6160.0,146.66666666666666
35,111660.0,113400.0,1,off_schedule,0.2583333333333333,0.0,-0.2583333333333333,0.1453703703703703,0.1151234567901234,14.212670403551895,7.483314773547883,27,21,2200.0,104.76190476190476
36,113420.0,115160.0,1,off_schedule,0.0,0.275,0.275,0.0713333333333333,0.0706666666666666,19.28730152198591,14.491376746189438,25,13,1240.0,95.3846153846154
37,115300.0,117000.0,1,morning_class,0.275,0.7166666666666667,0.44166666666666665,0.1397959183673469,0.0903061224489796,32.92415526630866,23.366642891095847,49,46,2540.0,55.21739130434783
38,117020.0,118800.0,1,morning_class,0.7166666666666667,0.175,-0.5416666666666667,0.5787037037037037,0.3273809523809523,35.41186241925155,28.460498941515414,63,98,6880.0,70.20408163265306
39,118820.0,120420.0,1,morning_class,0.175,0.6916666666666667,0.5166666666666666,0.1367647058823529,0.1308823529411764,9.695359714832659,28.21347195933177,17,10,1360.0,136.0
40,122420.0,124200.0,1,morning_class,0.6916666666666667,0.6166666666666667,-0.07499999999999996,0.5794025157232705,0.3416666666666667,35.4964786985977,13.564659966250536,53,102,6700.0,65.68627450980392
41,124220.0,126000.0,1,morning_class,0.6166666666666667,0.7166666666666667,0.09999999999999998,0.4288461538461539,0.2634615384615384,30.331501776206203,12.96148139681572,52,80,6600.0,82.5
42,126020.0,127800.0,1,lunch_or_transition,0.7166666666666667,0.6916666666666667,-0.025000000000000022,0.5676136363636364,0.3857954545454545,27.27636339397171,12.288205727444508,44,83,7140.0,86.02409638554217
43,127820.0,129600.0,1,lunch_or_transition,0.6916666666666667,0.2,-0.49166666666666664,0.551068376068376,0.3623931623931623,18.627936010197157,12.328828005937952,39,63,5340.0,84.76190476190476
44,129620.0,130520.0,1,lunch_or_transition,0.2,0.475,0.27499999999999997,0.1109649122807017,0.0929824561403508,19.05255888325765,17.74823934929885,38,28,1260.0,45.0
45,174620.0,176380.0,2,off_schedule,0.475,0.2583333333333333,-0.21666666666666667,0.2224747474747474,0.1517676767676767,23.748684174075834,6.855654600401044,33,41,3880.0,94.63414634146342
46,178220.0,179960.0,2,off_schedule,0.2583333333333333,0.45,0.1916666666666667,0.1206666666666666,0.118,19.209372712298546,21.6794833886788,25,18,3160.0,175.55555555555554
47,180020.0,181800.0,2,off_schedule,0.45,0.8833333333333333,0.4333333333333333,0.2971088435374149,0.1634353741496598,39.153543900903784,48.703182647543684,49,63,3540.0,56.19047619047619
48,181820.0,183600.0,2,off_schedule,0.8833333333333333,0.0,-0.8833333333333333,0.8361842105263159,0.599122807017544,64.56779382943171,60.11655346075655,76,251,14520.0,57.84860557768924
49,183620.0,185400.0,2,off_schedule,0.0,0.575,0.575,0.128125,0.1244791666666666,11.269427669584644,59.28743543112655,16,9,3180.0,353.3333333333333
50,185420.0,187200.0,2,off_schedule,0.575,0.7833333333333333,0.20833333333333337,0.3427777777777778,0.1764444444444444,70.09992867328754,42.42640687119285,75,102,6140.0,60.19607843137255
51,187220.0,189000.0,2,off_schedule,0.7833333333333333,0.0,-0.7833333333333333,0.6872427983539094,0.4221193415637859,80.33679107357973,66.04543890383347,81,175,11780.0,67.31428571428572
52,189020.0,190800.0,2,off_schedule,0.0,0.225,0.225,0.0796666666666666,0.0776666666666666,21.118712081942874,22.80350850198276,25,14,3440.0,245.7142857142857
53,190820.0,192600.0,2,off_schedule,0.225,0.5916666666666667,0.3666666666666667,0.1358490566037735,0.0924528301886792,43.40506882842141,31.272991542223778,53,63,5620.0,89.2063492063492
54,192620.0,194400.0,2,off_schedule,0.5916666666666667,0.6333333333333333,0.04166666666666663,0.4138888888888889,0.1877777777777777,69.65629906907199,38.8587184554509,75,109,6480.0,59.44954128440367
55,194420.0,196200.0,2,off_schedule,0.6333333333333333,0.65,0.01666666666666672,0.458879781420765,0.2733606557377049,34.02939905434711,17.349351572897472,61,102,18900.0,185.2941176470588
56,196220.0,198000.0,2,off_schedule,0.65,0.1666666666666666,-0.4833333333333334,0.4797794117647058,0.3006127450980392,43.0,23.130067012440755,68,110,11820.0,107.45454545454544
57,198020.0,199800.0,2,off_schedule,0.1666666666666666,0.0,-0.1666666666666666,0.0924242424242424,0.0704545454545454,37.12142238654117,18.2208671582886,44,41,3920.0,95.60975609756098
58,199820.0,201600.0,2,off_schedule,0.0,0.0666666666666666,0.0666666666666666,0.0981884057971014,0.0942028985507246,19.078784028338912,8.12403840463596,23,14,2980.0,212.8571428571429
59,201620.0,203400.0,2,morning_class,0.0666666666666666,0.775,0.7083333333333335,0.0823232323232323,0.0712121212121212,26.49528259898354,34.828149534535996,33,27,2700.0,100.0
60,203420.0,205180.0,2,morning_class,0.775,0.0,-0.775,0.6406862745098039,0.3680147058823529,51.526692111953004,37.22902093797257,68,122,8000.0,65.57377049180327
61,205240.0,207000.0,2,morning_class,0.0,0.0666666666666666,0.0666666666666666,0.0826923076923076,0.0804487179487179,22.20360331117452,8.306623862918075,26,17,2720.0,160.0
62,207020.0,208800.0,2,morning_class,0.0666666666666666,0.6916666666666667,0.625,0.0889639639639639,0.0761261261261261,30.23243291566195,25.98076211353316,37,30,3520.0,117.33333333333331
