t,window_start,window_end,day_index,context_label,y_large_outbreak_prob,y_next_large_outbreak_prob,delta_y_large_outbreak_prob,mean_attack_rate,mean_peak_prevalence,d_l2_norm,g_l2_norm,nodes,edges,total_duration_seconds,mean_edge_duration_seconds
0,1240913019.0,1240941099.0,0,morning_class,0.0833333333333333,0.1083333333333333,0.024999999999999994,0.0539583333333333,0.0415416666666666,106.2402936742929,26.5329983228432,200,714,118860.0,166.47058823529412
1,1241085639.0,1241114639.0,1,morning_class,0.1083333333333333,0.0416666666666666,-0.0666666666666667,0.0552287581699346,0.0374183006535947,116.50321883965266,42.391036788453285,204,739,134180.0,181.56968876860623
2,1241260239.0,1241286859.0,4,morning_class,0.0416666666666666,0.0083333333333333,-0.0333333333333333,0.0450268817204301,0.0325716845878136,141.83793568717786,23.93741840717165,186,615,113820.0,185.0731707317073
3,1241431539.0,1241460379.0,6,morning_class,0.0083333333333333,0.4166666666666667,0.4083333333333334,0.0257898894154818,0.0188783570300157,127.4872542648872,47.54997371187496,211,563,148180.0,263.19715808170514
4,1241604459.0,1241624659.0,8,morning_class,0.4166666666666667,0.425,0.008333333333333304,0.1408527131782946,0.0811240310077519,127.75758294520134,87.66413177577246,215,967,152680.0,157.89038262668046
5,1241777679.0,1241798559.0,10,morning_class,0.425,0.0083333333333333,-0.4166666666666667,0.2851092896174863,0.1518032786885245,207.4391477036097,160.9192344003662,305,1847,265620.0,143.81158635625337
6,1242036199.0,1242064439.0,12,morning_class,0.0083333333333333,0.025,0.0166666666666667,0.0264851485148514,0.0232673267326732,58.90670590009256,58.7962583843564,101,175,48980.0,279.8857142857143
7,1242208919.0,1242236899.0,14,morning_class,0.025,0.3083333333333333,0.28333333333333327,0.0474905303030303,0.0388257575757575,110.81967334368028,38.80721582386451,176,745,140880.0,189.1006711409396
8,1242381279.0,1242410119.0,16,morning_class,0.3083333333333333,0.3833333333333333,0.07500000000000001,0.1222079037800687,0.0798969072164948,133.91415160467545,45.89117562233506,194,801,137860.0,172.10986267166044
9,1242641299.0,1242662459.0,20,morning_class,0.3833333333333333,0.3083333333333333,-0.07500000000000001,0.1983333333333333,0.105037037037037,154.10061648157026,44.87761134463375,225,1006,172740.0,171.70974155069584
10,1242813959.0,1242833979.0,22,morning_class,0.3083333333333333,0.0,-0.3083333333333333,0.1729651162790697,0.0822674418604651,115.43396380615195,69.59885056522126,172,627,139500.0,222.488038277512
11,1243073359.0,1243101339.0,25,morning_class,0.0,0.0083333333333333,0.0083333333333333,0.0267326732673267,0.0246699669966996,58.19793810780585,39.56008088970496,101,184,67900.0,369.0217391304348
12,1243245379.0,1243274439.0,26,morning_class,0.0083333333333333,0.2666666666666666,0.2583333333333333,0.032,0.0253333333333333,90.5869747811461,24.228082879171435,175,597,142500.0,238.69346733668343
13,1243418719.0,1243447039.0,29,morning_class,0.2666666666666666,0.225,-0.0416666666666666,0.0880170316301703,0.0722019464720194,72.64296249465602,113.91224692718514,137,624,131760.0,211.15384615384616
14,1243591159.0,1243621819.0,30,morning_class,0.225,0.4166666666666667,0.19166666666666668,0.1005878284923928,0.0686376210235131,176.46246059714798,56.06246516163912,241,1301,166100.0,127.67102229054574
15,1243764299.0,1243785539.0,33,morning_class,0.4166666666666667,0.4583333333333333,0.04166666666666663,0.2828838174273859,0.1512793914246196,162.6161123628283,48.13522618623496,241,1504,247540.0,164.5877659574468
16,1243937079.0,1243957759.0,35,morning_class,0.4583333333333333,0.0083333333333333,-0.45,0.3733333333333332,0.202719298245614,127.20455966670377,96.30680142129111,190,1349,234020.0,173.47664936990364
17,1244196299.0,1244223779.0,38,morning_class,0.0083333333333333,0.3083333333333333,0.3,0.0453703703703703,0.0377946127946128,52.15361924162119,63.82789358893179,99,238,68420.0,287.47899159663865
18,1244368679.0,1244397379.0,39,morning_class,0.3083333333333333,0.075,-0.23333333333333328,0.1196808510638297,0.0908687943262411,106.26382263028185,60.15812497078013,188,935,168320.0,180.02139037433156
19,1244541339.0,1244570239.0,41,morning_class,0.075,0.3916666666666666,0.3166666666666666,0.0440104166666666,0.0360243055555555,49.08156476723211,64.02343321003646,96,256,57180.0,223.359375
20,1244714659.0,1244743519.0,44,morning_class,0.3916666666666666,0.3166666666666666,-0.07500000000000001,0.109217877094972,0.0819366852886406,104.89041900955492,109.42577392917995,179,932,110580.0,118.6480686695279
21,1244887979.0,1244910119.0,46,morning_class,0.3166666666666666,0.0,-0.3166666666666666,0.2006302521008403,0.0962885154061624,191.17008134119732,149.92331373072034,238,1075,168140.0,156.4093023255814
22,1245060339.0,1245081439.0,48,morning_class,0.0,0.15,0.15,0.0373809523809523,0.0301587301587301,53.113086899558006,25.80697580112788,105,202,62420.0,309.009900990099
23,1245319279.0,1245347519.0,50,morning_class,0.15,0.2166666666666666,0.0666666666666666,0.0581585081585081,0.0464452214452214,72.03471385380801,17.291616465790582,143,548,112440.0,205.1824817518248
24,1245492119.0,1245518019.0,52,morning_class,0.2166666666666666,0.4166666666666667,0.2000000000000001,0.0963888888888889,0.0665277777777777,63.118935352238,32.48076353782343,120,397,88440.0,222.7707808564232
25,1245664579.0,1245693599.0,54,morning_class,0.4166666666666667,0.1583333333333333,-0.2583333333333334,0.1797077922077922,0.1228896103896104,65.612498809297,30.886890422961002,154,1064,147620.0,138.7406015037594
26,1245837239.0,1245864659.0,56,morning_class,0.1583333333333333,0.1666666666666666,0.008333333333333304,0.064927536231884,0.0460869565217391,56.50663677834667,45.5411901469428,115,289,78680.0,272.24913494809687
27,1246011099.0,1246031899.0,59,morning_class,0.1666666666666666,0.025,-0.1416666666666666,0.0781182795698924,0.0478494623655914,98.00510190801293,39.0,155,451,116640.0,258.6252771618625
28,1246184079.0,1246204999.0,61,morning_class,0.025,0.0,-0.025,0.0529527559055118,0.0421259842519685,63.93746945258312,29.512709126747414,127,343,78360.0,228.4548104956268
29,1246442279.0,1246469879.0,63,morning_class,0.0,0.0833333333333333,0.0833333333333333,0.0398958333333333,0.0376041666666666,42.035699113967404,19.493588689617926,80,144,32620.0,226.52777777777777
30,1246615359.0,1246643959.0,65,morning_class,0.0833333333333333,0.2583333333333333,0.175,0.0450980392156862,0.039297385620915,54.89080068645383,45.40925015897091,102,253,65540.0,259.0513833992095
31,1246789159.0,1246815839.0,68,morning_class,0.2583333333333333,0.0916666666666666,-0.16666666666666669,0.0990666666666666,0.0838666666666666,88.96628574915331,41.47288270665544,125,573,80740.0,140.90750436300175
32,1246960639.0,1246989759.0,69,morning_class,0.0916666666666666,0.3916666666666666,0.3,0.0548929663608562,0.0434250764525993,58.71115737234278,39.91240408695021,109,287,101760.0,354.5644599303136
33,1247133459.0,1247154879.0,71,morning_class,0.3916666666666666,0.2916666666666667,-0.09999999999999992,0.2178990610328638,0.1107394366197183,83.7137981458254,26.019223662515376,142,696,166880.0,239.77011494252875
34,1247307039.0,1247327899.0,74,morning_class,0.2916666666666667,0.0333333333333333,-0.2583333333333334,0.1436559139784946,0.0775806451612903,95.0,37.080992435478315,155,563,111500.0,198.04618117229128
35,1247563239.0,1247594479.0,76,morning_class,0.0333333333333333,0.0,-0.0333333333333333,0.0234276729559748,0.0189203354297693,90.598013223249,36.05551275463989,159,436,108340.0,248.4862385321101
36,1247738459.0,1247766999.0,78,morning_class,0.0,0.0,0.0,0.0502754820936639,0.0439393939393939,61.93545026880809,22.045407685048602,121,333,54940.0,164.98498498498498
37,1247912579.0,1247939619.0,81,morning_class,0.0,0.025,0.025,0.0262962962962962,0.0239814814814814,47.22287581247038,19.621416870348583,90,168,65380.0,389.1666666666667
38,1248083999.0,1248117519.0,82,morning_class,0.025,0.0666666666666666,0.041666666666666595,0.0516801075268817,0.0446908602150537,60.60528029800704,35.81898937714463,124,405,104960.0,259.1604938271605
39,1248257659.0,1248278799.0,85,morning_class,0.0666666666666666,0.1666666666666666,0.1,0.0560747663551401,0.0394859813084112,71.442284397967,22.825424421026653,107,268,80540.0,300.5223880597015
40,1248429979.0,1248451999.0,87,morning_class,0.1666666666666666,0.3,0.1333333333333334,0.082427536231884,0.0490942028985507,85.19976525789258,42.930175867331364,138,433,96420.0,222.67898383371823
41,1248688639.0,1248717019.0,89,morning_class,0.3,0.1416666666666666,-0.15833333333333338,0.1403030303030303,0.0999242424242424,50.65570056765576,26.30589287593181,110,467,128480.0,275.117773019272
42,1248861639.0,1248890439.0,91,morning_class,0.1416666666666666,0.0083333333333333,-0.1333333333333333,0.0659259259259259,0.0467592592592592,59.51470406546604,26.589471600616662,90,224,72540.0,323.8392857142857
43,1249034659.0,1249062019.0,94,morning_class,0.0083333333333333,0.05,0.0416666666666667,0.0395658263305322,0.0354341736694677,56.20498198558558,20.396078054371138,119,411,63020.0,153.33333333333334
44,1249208319.0,1249235939.0,96,morning_class,0.05,0.2333333333333333,0.1833333333333333,0.0488461538461538,0.0383974358974359,65.1536645170477,44.721359549995796,130,415,95260.0,229.5421686746988
45,1249380319.0,1249401479.0,98,morning_class,0.2333333333333333,0.3583333333333333,0.12499999999999997,0.116280353200883,0.0605408388520971,99.20181449953424,42.190046219457976,151,496,89440.0,180.32258064516128
46,1249552979.0,1249574339.0,99,morning_class,0.3583333333333333,0.0166666666666666,-0.3416666666666667,0.205406746031746,0.1033730158730158,101.73986436004326,58.0,168,677,121100.0,178.87740029542098
47,1249811739.0,1249840239.0,102,morning_class,0.0166666666666666,0.1916666666666666,0.175,0.0353703703703703,0.0307407407407407,51.01960407529639,26.095976701399778,90,167,66100.0,395.80838323353294
48,1249984659.0,1250013319.0,104,morning_class,0.1916666666666666,0.2,0.008333333333333415,0.1026,0.0744666666666666,62.94441992742486,29.223278392404914,125,449,100940.0,224.81069042316255
49,1250157579.0,1250185779.0,106,morning_class,0.2,0.0083333333333333,-0.1916666666666667,0.0814432989690721,0.0646907216494845,43.520110293977886,28.24889378365107,97,346,88900.0,256.9364161849711
50,1250330379.0,1250359559.0,108,morning_class,0.0083333333333333,0.0333333333333333,0.024999999999999998,0.0239296636085626,0.0214067278287461,63.08724118235002,30.116440692751194,109,192,62880.0,327.5
51,1250503759.0,1250525739.0,111,morning_class,0.0333333333333333,0.2,0.1666666666666667,0.034375,0.0294791666666666,39.48417404479927,24.166091947189145,80,163,36640.0,224.78527607361963
52,1250676899.0,1250697539.0,113,morning_class,0.2,0.0583333333333333,-0.14166666666666672,0.0899399399399399,0.0641141141141141,57.81868210189506,36.02776706930364,111,399,75920.0,190.27568922305764
53,1250935079.0,1250963919.0,115,morning_class,0.0583333333333333,0.3916666666666666,0.3333333333333333,0.0394160583941605,0.0321167883211678,81.0740402348372,48.95916665957459,137,441,82580.0,187.2562358276644
54,1251107839.0,1251134059.0,117,morning_class,0.3916666666666666,0.0416666666666666,-0.35,0.2150659133709981,0.1178436911487759,111.73182178770737,61.506097258727124,177,823,139600.0,169.62332928311056
55,1251280299.0,1251309479.0,119,morning_class,0.0416666666666666,0.0833333333333333,0.0416666666666667,0.0503623188405797,0.0403623188405797,61.44102863722254,20.29778313018444,115,324,80680.0,249.0123456790124
56,1251453239.0,1251482339.0,121,morning_class,0.0833333333333333,0.3416666666666667,0.25833333333333336,0.0488357843137254,0.0378063725490196,76.25614729318549,29.103264421710495,136,330,100700.0,305.1515151515151
57,1251626639.0,1251647739.0,124,morning_class,0.3416666666666667,0.1666666666666666,-0.17500000000000007,0.2245406824146981,0.1116797900262467,65.5133574166368,27.53179979587241,127,526,117440.0,223.2699619771863
58,1251799539.0,1251820539.0,126,morning_class,0.1666666666666666,0.3833333333333333,0.2166666666666667,0.096031746031746,0.0553571428571428,82.12186067059123,64.34283176858165,126,399,83140.0,208.3709273182957
59,1252058719.0,1252086999.0,129,morning_class,0.3833333333333333,0.2916666666666667,-0.09166666666666662,0.2004985754985755,0.1158831908831908,130.78226179417453,40.47221268969612,234,1202,197220.0,164.0765391014975
60,1252231139.0,1252259319.0,130,morning_class,0.2916666666666667,0.225,-0.06666666666666668,0.1282905982905982,0.0737606837606837,102.46950765959599,43.76071297408213,195,828,153980.0,185.96618357487924
61,1252404039.0,1252432439.0,132,morning_class,0.225,0.2666666666666666,0.0416666666666666,0.1134502923976608,0.0692982456140351,65.18435395092905,37.027017163147235,114,373,94960.0,254.5844504021448
62,1252576419.0,1252605299.0,134,morning_class,0.2666666666666666,0.35,0.08333333333333337,0.1223847517730496,0.0800531914893616,95.44631999192006,37.8549864614954,188,857,159260.0,185.8343057176196
63,1252750499.0,1252771059.0,137,morning_class,0.35,0.225,-0.12499999999999997,0.2054703476482617,0.1058793456032719,103.22305943925514,21.97726097583591,163,674,133140.0,197.53709198813056
64,1252922599.0,1252943279.0,138,morning_class,0.225,0.3666666666666666,0.14166666666666658,0.1302884615384615,0.066826923076923,105.35653752852738,90.46546302318913,156,584,94460.0,161.74657534246575
65,1253181559.0,1253210439.0,141,morning_class,0.3666666666666666,0.35,-0.016666666666666607,0.2255675029868578,0.1142174432497013,183.3684814792335,144.67204291085406,279,1639,246600.0,150.45759609517998
66,1253354539.0,1253382959.0,143,morning_class,0.35,0.2416666666666666,-0.10833333333333336,0.2342682926829268,0.109410569105691,298.8076304246597,114.28035701729323,410,2765,345960.0,125.12115732368898
67,1253527079.0,1253555979.0,145,morning_class,0.2416666666666666,0.3166666666666666,0.07499999999999998,0.1121069182389937,0.0587788259958071,206.97825972792407,22.847319317591726,318,1441,219980.0,152.65787647467036
