t,window_start,window_end,day_index,context_label,y_large_outbreak_prob,y_next_large_outbreak_prob,delta_y_large_outbreak_prob,mean_attack_rate,mean_peak_prevalence,d_l2_norm,g_l2_norm,nodes,edges,total_duration_seconds,mean_edge_duration_seconds
0,28840.0,32420.0,0,morning_class,0.7083333333333334,0.675,-0.033333333333333326,0.368640350877193,0.2489035087719298,48.518037882832814,67.55738301621814,114,632,22980.0,36.36075949367088
1,32440.0,36020.0,0,morning_class,0.675,0.1666666666666666,-0.5083333333333334,0.5477324263038549,0.325907029478458,76.72027111526653,44.06812907306141,147,572,57860.0,101.15384615384616
2,36040.0,39620.0,0,morning_class,0.1666666666666666,0.1583333333333333,-0.008333333333333304,0.0710526315789473,0.049298245614035,77.6659513557904,5.916079783099616,95,101,20520.0,203.1683168316832
3,39640.0,43220.0,0,lunch_or_transition,0.1583333333333333,0.1583333333333333,0.0,0.0765463917525773,0.052147766323024,77.33692520394123,21.02379604162864,97,104,12380.0,119.03846153846152
4,43240.0,46820.0,0,lunch_or_transition,0.1583333333333333,0.65,0.4916666666666667,0.0866666666666666,0.052391304347826,96.73158739522474,44.11349000022555,115,150,24400.0,162.66666666666666
5,46840.0,50420.0,0,afternoon_class,0.65,0.0166666666666666,-0.6333333333333334,0.4919312169312169,0.2617063492063492,86.90799733051038,40.779897008207364,126,249,35440.0,142.3293172690763
6,50440.0,54020.0,0,afternoon_class,0.0166666666666666,0.0583333333333333,0.0416666666666667,0.042003367003367,0.034006734006734,74.39085965358916,13.784048752090222,99,99,15240.0,153.93939393939394
7,54040.0,57620.0,0,afternoon_class,0.0583333333333333,0.0333333333333333,-0.025,0.0645833333333333,0.046875,66.7233092704491,10.392304845413264,104,130,17980.0,138.30769230769232
8,57640.0,61220.0,0,afternoon_class,0.0333333333333333,0.0416666666666666,0.008333333333333304,0.0540719696969696,0.0397727272727272,59.648973168026956,13.076696830622021,88,86,10900.0,126.74418604651164
9,61240.0,64820.0,0,off_schedule,0.0416666666666666,0.0,-0.0416666666666666,0.0528508771929824,0.0410087719298245,62.53798845501828,43.68065933568311,76,70,10440.0,149.14285714285714
10,64840.0,68420.0,0,off_schedule,0.0,0.1083333333333333,0.1083333333333333,0.0886363636363636,0.0852272727272727,19.05255888325765,10.04987562112089,22,14,7800.0,557.1428571428571
11,68440.0,71980.0,0,off_schedule,0.1083333333333333,0.0,-0.1083333333333333,0.175,0.1712121212121212,9.055385138137417,20.346989949375804,11,6,7300.0,1216.6666666666667
12,115240.0,118820.0,1,morning_class,0.0,0.2333333333333333,0.2333333333333333,0.0791666666666666,0.0719298245614035,29.223278392404914,66.27971031922213,38,35,18100.0,517.1428571428571
13,118840.0,122420.0,1,morning_class,0.2333333333333333,0.0,-0.2333333333333333,0.127046783625731,0.0698099415204678,95.25229656024048,22.538855339169288,114,146,14180.0,97.12328767123287
14,122440.0,126020.0,1,morning_class,0.0,0.1,0.1,0.031,0.0253333333333333,74.83982896827064,8.18535277187245,100,89,9720.0,109.21348314606742
15,126040.0,129620.0,1,lunch_or_transition,0.1,0.0,-0.1,0.0578478964401294,0.0429611650485436,78.24321056807422,21.97726097583591,103,115,12120.0,105.3913043478261
16,129640.0,133220.0,1,lunch_or_transition,0.0,0.3583333333333333,0.3583333333333333,0.0497787610619469,0.0392330383480826,98.33107342035883,21.6794833886788,113,137,19420.0,141.75182481751824
17,133240.0,136820.0,1,afternoon_class,0.3583333333333333,0.1916666666666666,-0.16666666666666669,0.1615615615615615,0.0861111111111111,85.76129663198896,11.313708498984761,111,158,25880.0,163.79746835443038
18,136840.0,140420.0,1,afternoon_class,0.1916666666666666,0.0583333333333333,-0.1333333333333333,0.092391304347826,0.0563768115942029,92.43916918709297,23.065125189341593,115,146,18520.0,126.84931506849315
19,140440.0,144020.0,1,afternoon_class,0.0583333333333333,0.0083333333333333,-0.05,0.0561056105610561,0.0413366336633663,71.77046746399246,27.03701166919155,101,108,15180.0,140.55555555555554
20,144040.0,147620.0,1,afternoon_class,0.0083333333333333,0.1583333333333333,0.15,0.0481023102310231,0.0355610561056105,51.34199061197374,12.24744871391589,101,111,10340.0,93.15315315315316
21,147640.0,151220.0,1,off_schedule,0.1583333333333333,0.0833333333333333,-0.075,0.0846320346320346,0.060064935064935,47.45524207081869,21.047565179849187,77,79,7520.0,95.18987341772151
22,151240.0,154820.0,1,off_schedule,0.0833333333333333,0.2583333333333333,0.175,0.0867117117117117,0.0768018018018018,31.12876483254676,23.2163735324878,37,33,8220.0,249.0909090909091
23,154840.0,158380.0,1,off_schedule,0.2583333333333333,0.075,-0.1833333333333333,0.187121212121212,0.187121212121212,8.12403840463596,24.1039415863879,11,6,5740.0,956.6666666666666
24,201640.0,205220.0,2,morning_class,0.075,0.125,0.05,0.0888157894736842,0.0760964912280701,32.109188716004645,41.50903516103452,38,37,8520.0,230.27027027027023
25,205240.0,208820.0,2,morning_class,0.125,0.0083333333333333,-0.1166666666666667,0.0785478547854785,0.0542904290429042,72.34638899074369,9.797958971132712,101,121,14880.0,122.97520661157024
26,208840.0,212420.0,2,morning_class,0.0083333333333333,0.0583333333333333,0.05,0.0595643939393939,0.0459280303030303,71.80529228406496,11.0,88,88,13560.0,154.0909090909091
27,212440.0,216020.0,2,lunch_or_transition,0.0583333333333333,0.0166666666666666,-0.0416666666666667,0.0507978723404255,0.0338652482269503,78.3772926299448,18.110770276274835,94,84,7920.0,94.28571428571428
28,216060.0,219620.0,2,lunch_or_transition,0.0166666666666666,0.525,0.5083333333333334,0.0545358649789029,0.0422995780590717,61.765686266729034,24.124676163629637,79,73,8020.0,109.86301369863014
29,219640.0,223220.0,2,afternoon_class,0.525,0.3666666666666666,-0.15833333333333344,0.3093042071197411,0.1531553398058252,61.0163912403872,20.639767440550294,103,182,31220.0,171.53846153846155
30,223240.0,226820.0,2,afternoon_class,0.3666666666666666,0.0,-0.3666666666666666,0.1818930041152263,0.1063786008230452,50.92150822589606,14.798648586948742,81,93,14040.0,150.96774193548387
31,226840.0,230420.0,2,afternoon_class,0.0,0.0,0.0,0.0435897435897435,0.0343406593406593,63.229739838148944,8.06225774829855,91,83,11240.0,135.42168674698794
32,230440.0,234020.0,2,afternoon_class,0.0,0.0083333333333333,0.0083333333333333,0.0375,0.0328900709219858,62.10475022089695,14.696938456699069,94,97,10860.0,111.95876288659794
33,234040.0,237620.0,2,off_schedule,0.0083333333333333,0.0,-0.0083333333333333,0.0552511415525114,0.0422374429223744,48.38388161361178,22.737634001804146,73,65,7420.0,114.15384615384616
34,237640.0,241220.0,2,off_schedule,0.0,0.8833333333333333,0.8833333333333333,0.0674242424242424,0.0648989898989898,26.49528259898354,22.561028345356956,33,23,5820.0,253.0434782608696
35,241240.0,244780.0,2,off_schedule,0.8833333333333333,0.0583333333333333,-0.825,0.3138888888888889,0.3138888888888889,4.123105625617661,32.4037034920393,6,3,4520.0,1506.6666666666667
