t,window_start,window_end,day_index,context_label,y_large_outbreak_prob,y_next_large_outbreak_prob,delta_y_large_outbreak_prob,mean_attack_rate,mean_peak_prevalence,d_l2_norm,g_l2_norm,nodes,edges,total_duration_seconds,mean_edge_duration_seconds
0,1385982020.0,1385984700.0,0,lunch_or_transition,0.825,0.7833333333333333,-0.04166666666666663,0.7291666666666666,0.4657074340527578,202.85462775100794,45.48626166217664,278,759,88140.0,116.12648221343872
1,1385984720.0,1385987400.0,0,lunch_or_transition,0.7833333333333333,0.8,0.01666666666666672,0.6612165963431786,0.4108649789029535,170.9532099727876,39.774363602702685,237,553,76560.0,138.44484629294757
2,1385987420.0,1385990100.0,0,lunch_or_transition,0.8,0.2333333333333333,-0.5666666666666668,0.7272264631043257,0.4672391857506361,205.1852821232556,73.76313442364011,262,682,85500.0,125.366568914956
3,1385990120.0,1385992800.0,0,afternoon_class,0.2333333333333333,0.0,-0.2333333333333333,0.1220094086021505,0.0726142473118279,155.6727336433712,32.87856444554719,248,384,88440.0,230.3125
4,1385992820.0,1385995500.0,0,afternoon_class,0.0,0.7333333333333333,0.7333333333333333,0.0814814814814814,0.0649259259259259,139.12224840046252,47.07440918375928,225,465,94400.0,203.01075268817203
5,1385995520.0,1385998200.0,0,afternoon_class,0.7333333333333333,0.075,-0.6583333333333333,0.5807272727272728,0.3437272727272727,147.06801147768334,72.04859471218019,275,780,102080.0,130.87179487179486
6,1385998220.0,1385999980.0,0,afternoon_class,0.075,0.1833333333333333,0.1083333333333333,0.0651380670611439,0.0521696252465483,99.93998198919189,19.235384061671343,169,191,40480.0,211.9371727748691
7,1386054020.0,1386054900.0,0,off_schedule,0.1833333333333333,0.0,-0.1833333333333333,0.0796581196581196,0.0639743589743589,92.2496612459905,34.92849839314596,195,223,37440.0,167.89237668161434
8,1386054920.0,1386057600.0,0,off_schedule,0.0,0.0,0.0,0.0383169934640522,0.03125,116.00862036935014,13.892443989449804,204,190,88300.0,464.7368421052632
9,1386057620.0,1386060300.0,0,morning_class,0.0,0.9166666666666666,0.9166666666666666,0.0314227642276422,0.0265853658536585,118.16513868311584,134.34656675925888,205,186,76500.0,411.2903225806452
10,1386060320.0,1386063000.0,0,morning_class,0.9166666666666666,0.0,-0.9166666666666666,0.8575892857142856,0.6423511904761905,156.46085772486356,130.3226764611593,280,1167,128040.0,109.7172236503856
11,1386063020.0,1386065700.0,0,morning_class,0.0,0.0,0.0,0.0582912457912457,0.045496632996633,114.09645042682091,9.055385138137417,198,210,80920.0,385.3333333333333
12,1386065720.0,1386068400.0,0,morning_class,0.0,0.8583333333333333,0.8583333333333333,0.0475388601036269,0.0377374784110535,108.71062505569546,89.06739021662193,193,184,76680.0,416.7391304347826
