frozen_pdb_manifest_version,selection_spec_id,pdb_id,release_date,experimental_method,modality,resolution_combined,resolution_band,polymer_entity_count,deposited_protein_instance_count,chain_id,protein_chains_in_entity,chain_length_metadata,chain_length_parsed,num_ca_atoms,fraction_ca_present,num_nonpolymer_ligands,nonpolymer_bound_components,ligand_state,has_metal,organism,is_membrane_annotated,qscore,clashscore,validation_available,validation_quality_fields,mmcif_deposited_url,validation_url_primary,pdb_stratum,entry_exclusion_code,mmcif_sha256,validation_pdf_sha256,download_status,parse_status,graph_status,topology_status
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,1UCU,2003-08-12T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,4.0,gt_3p5,1,1,A,A,494,,,,0,,apo_like,N,Salmonella typhimurium,N,,28.21,Y,"{""geometry.angles_rmsz"":0.95,""geometry.bonds_rmsz"":0.67,""geometry.clashscore"":28.21,""geometry.percent_ramachandran_outliers"":1.02,""geometry.percent_rotamer_outliers"":11.76,""summary.attempted_validation_steps"":""molprobity,validation-pack,xtriage,eds,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2024-03-06T03:07:00+0000""}",https://files.rcsb.org/download/1UCU.cif,https://www.ebi.ac.uk/pdbe/entry-files/1ucu_validation.pdf,cryo_em_robustness,,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,21AL,2026-03-11T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,3.57,gt_3p5,1,1,A,A,393,,,,0,,apo_like,N,Borna disease virus 1,N,0.394,5.58,Y,"{""em.atom_inclusion_all_atoms"":0.572,""em.atom_inclusion_backbone"":0.694,""em.author_provided_fsc_resolution_by_cutoff_pt143"":3.57,""em.qscore"":0.394,""geometry.angles_rmsz"":1.27,""geometry.bonds_rmsz"":0.67,""geometry.clashscore"":5.58,""geometry.percent_ramachandran_outliers"":0.3,""geometry.percent_rotamer_outliers"":0.35,""summary.attempted_validation_steps"":""visualanalysis,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-03-04T07:14:00+0000""}",https://files.rcsb.org/download/21AL.cif,https://www.ebi.ac.uk/pdbe/entry-files/21al_validation.pdf,cryo_em_robustness,,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,21XJ,2026-02-18T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,3.1,2p5_to_3p5,1,1,A,A,3,,,,0,,apo_like,N,unidentified,N,0.451,13.1,Y,"{""em.atom_inclusion_all_atoms"":0.746,""em.atom_inclusion_backbone"":0.889,""em.author_provided_fsc_resolution_by_cutoff_pt143"":3.18,""em.qscore"":0.451,""geometry.angles_rmsz"":0.21,""geometry.bonds_rmsz"":0.12,""geometry.clashscore"":13.1,""summary.attempted_validation_steps"":""visualanalysis,mogul,buster-report,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-02-10T03:27:00+0000""}",https://files.rcsb.org/download/21XJ.cif,https://www.ebi.ac.uk/pdbe/entry-files/21xj_validation.pdf,cryo_em_robustness,length_outside_80_800,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,21XK,2026-02-18T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,2.64,2p5_to_3p5,1,1,A,A,2,,,,0,,apo_like,N,unidentified,N,0.455,16.29,Y,"{""em.atom_inclusion_all_atoms"":0.695,""em.atom_inclusion_backbone"":0.875,""em.author_provided_fsc_resolution_by_cutoff_pt143"":2.64,""em.qscore"":0.455,""geometry.angles_rmsz"":0.21,""geometry.bonds_rmsz"":0.19,""geometry.clashscore"":16.29,""geometry.percent_rotamer_outliers"":0.0,""summary.attempted_validation_steps"":""visualanalysis,mogul,buster-report,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-02-11T08:01:00+0000""}",https://files.rcsb.org/download/21XK.cif,https://www.ebi.ac.uk/pdbe/entry-files/21xk_validation.pdf,cryo_em_robustness,length_outside_80_800,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,21XL,2026-02-18T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,2.58,2p5_to_3p5,1,1,A,A,2,,,,0,,apo_like,N,unidentified,N,0.553,10.43,Y,"{""em.atom_inclusion_all_atoms"":0.867,""em.atom_inclusion_backbone"":1.0,""em.author_provided_fsc_resolution_by_cutoff_pt143"":2.58,""em.qscore"":0.553,""geometry.angles_rmsz"":0.25,""geometry.bonds_rmsz"":0.31,""geometry.clashscore"":10.43,""geometry.percent_rotamer_outliers"":0.0,""summary.attempted_validation_steps"":""visualanalysis,mogul,buster-report,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-02-10T03:27:00+0000""}",https://files.rcsb.org/download/21XL.cif,https://www.ebi.ac.uk/pdbe/entry-files/21xl_validation.pdf,cryo_em_robustness,length_outside_80_800,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,21XM,2026-02-18T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,2.8,2p5_to_3p5,1,1,A,A,2,,,,0,,apo_like,N,unidentified,N,0.451,5.42,Y,"{""em.atom_inclusion_all_atoms"":0.747,""em.atom_inclusion_backbone"":0.778,""em.author_provided_fsc_resolution_by_cutoff_pt143"":2.8,""em.qscore"":0.451,""geometry.angles_rmsz"":0.06,""geometry.bonds_rmsz"":0.09,""geometry.clashscore"":5.42,""summary.attempted_validation_steps"":""visualanalysis,mogul,buster-report,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-02-10T04:01:00+0000""}",https://files.rcsb.org/download/21XM.cif,https://www.ebi.ac.uk/pdbe/entry-files/21xm_validation.pdf,cryo_em_robustness,length_outside_80_800,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,22FX,2026-03-04T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,1.24,lt_2p5,1,1,A,A,182,,,,2,ZN,ligand_or_cofactor_bound,Y,Mus musculus,N,,3.75,Y,"{""em.atom_inclusion_all_atoms"":0.938,""em.atom_inclusion_backbone"":0.934,""em.author_provided_fsc_resolution_by_cutoff_pt143"":1.24,""geometry.angles_rmsz"":0.96,""geometry.bonds_rmsz"":0.74,""geometry.clashscore"":3.75,""geometry.percent_ramachandran_outliers"":0.0,""geometry.percent_rotamer_outliers"":0.0,""summary.attempted_validation_steps"":""visualanalysis,mogul,molprobity,validation-pack,validation_schema,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2026-02-25T05:50:00+0000""}",https://files.rcsb.org/download/22FX.cif,https://www.ebi.ac.uk/pdbe/entry-files/22fx_validation.pdf,stress,,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,3A5X,2010-03-16T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,4.0,gt_3p5,1,1,A,A,494,,,,0,,apo_like,N,Salmonella typhimurium,N,0.0,18.9,Y,"{""em.atom_inclusion_all_atoms"":0.0,""em.atom_inclusion_backbone"":0.0,""em.qscore"":0.0,""geometry.angles_rmsz"":0.75,""geometry.bonds_rmsz"":0.63,""geometry.clashscore"":18.9,""geometry.percent_ramachandran_outliers"":2.85,""geometry.percent_rotamer_outliers"":7.95,""summary.attempted_validation_steps"":""visualanalysis,molprobity,validation-pack,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2022-12-12T13:47:00+0000""}",https://files.rcsb.org/download/3A5X.cif,https://www.ebi.ac.uk/pdbe/entry-files/3a5x_validation.pdf,cryo_em_robustness,,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,3J9C,2015-03-11T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,2.9,2p5_to_3p5,1,1,A,A,562,,,,1,CA,ligand_or_cofactor_bound,Y,Bacillus anthracis,N,0.517,5.92,Y,"{""em.atom_inclusion_all_atoms"":0.761,""em.atom_inclusion_backbone"":0.865,""em.qscore"":0.517,""geometry.angles_rmsz"":0.47,""geometry.bonds_rmsz"":0.26,""geometry.clashscore"":5.92,""geometry.percent_ramachandran_outliers"":0.0,""geometry.percent_rotamer_outliers"":5.07,""summary.attempted_validation_steps"":""visualanalysis,molprobity,validation-pack,mogul,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2024-02-13T18:17:00+0000""}",https://files.rcsb.org/download/3J9C.cif,https://www.ebi.ac.uk/pdbe/entry-files/3j9c_validation.pdf,stress,,,,pending,pending,pending,pending
2026-04-02-pdb-neurips-v1,protein_domain_cath_rcsb_v1,3J9D,2015-12-09T00:00:00+0000,ELECTRON MICROSCOPY,cryoem,3.3,2p5_to_3p5,1,1,A,A,961,,,,1,ZN,ligand_or_cofactor_bound,Y,Bluetongue virus 1,N,0.538,23.17,Y,"{""em.atom_inclusion_all_atoms"":0.806,""em.atom_inclusion_backbone"":0.873,""em.qscore"":0.538,""geometry.angles_rmsz"":0.92,""geometry.bonds_rmsz"":1.35,""geometry.clashscore"":23.17,""geometry.percent_ramachandran_outliers"":2.16,""geometry.percent_rotamer_outliers"":22.52,""summary.attempted_validation_steps"":""visualanalysis,molprobity,validation-pack,mogul,percentiles,writexml,writecif,writepdf"",""summary.ligands_for_buster_report"":""N"",""summary.report_creation_date"":""2024-02-13T13:37:00+0000""}",https://files.rcsb.org/download/3J9D.cif,https://www.ebi.ac.uk/pdbe/entry-files/3j9d_validation.pdf,stress,length_outside_80_800,,,pending,pending,pending,pending
